CLAVE_CTE,ALIAS,RAZON_SOCIAL,DIRECCION,CIUDAD,ESTADO,CORREO,TELEFONO,SUCURSAL,CONTACTO
BWW_MUNDO_E ,BWW MUNDO E  ,HM FOODS MEXICO S.A. DE C.V.,"Piedad Narvarte, Benito Juárez, Distrito Federal , México. C.P  03000",CHIHUAHUA,CHIHUAHUA,servicios.df@sisa.org.mx,,CHIHUAHUA,
CABIN,Cabin Cafeterias,"Cabin Cafeterias Barba Internacional, S.A. de C.V.", Marques de Comillas #2505 Col. Miramar,CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
CARLS_JR_AEROPUERTO,Carl´s Jr Aeropuerto,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Zaragoza, C.P. 32700",Juarez,Chihuahua,nlujan@borderstar.com.mx,656 637 1262,JUAREZ,
CARLS_JR_BERMUDEZ,Carl´s Jr Bermudez,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"AVE ANTONIO J. BERMUDEZ #1150, PARQUE INDUSTRIAL ANTONIO J. BERMUDEZ, 32470",Juarez,Chihuahua,nlujan@borderstar.com.mx,656 625 1059,JUAREZ,
CARLS_JR_EJERCITO,Carl´s Jr Ejercito,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Ejército Nacional 2926-4, Partido Iglesias, C.P. 32500",Juarez,Chihuahua,"ejercito@borderstar.com.mx, nlujan@borderstar.com.mx y atorres@borderstar.com.mx",656 684 8739,JUAREZ,
CARLS_JR_SAN_LORENZO,Carl´s Jr San Lorenzo,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Paseo Triunfo De La República 308, Col. San Lorenzo, C.P. 32437",ESTADO,Chihuahua,nlujan@borderstar.com.mx,,JUAREZ,
CARLS_AERO_ACEI,Carl's Jr. Aeropuerto ,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Tecnológico 5708-12, Francisco I. Madero",JUAREZ,CHIHUAHUA,"aeropuerto@borderstar.com.mx, nlujan@borderstar.com.mx y atorres@borderstar.com.mx",,CHIHUAHUA,
CARLS_CANTERA,Carl's Jr. Cantera 5,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,Plaza Cantera Cinco,CHIHUAHUA,CHIHUAHUA,"cantera@borderstar.com.mx, nlujan@borderstar.com.mx, atorres@borderstar.com.mx",6142035102,CHIHUAHUA,Lic. Lujan
CARLS_CANTERA_ACEI,Carl's Jr. Cantera 5 (Aceite),BORDER STAR DE MEXICO S. DE R.L. DE C.V.,Plaza Cantera Cinco,CHIHUAHUA,CHIHUAHUA,ipolanco@borderstar.com.mx y nlujan@borderstar.com.mx,6142035102,CHIHUAHUA,Lic. Lujan
CARLS_IND_ACEI,Carl's Jr. Industrias ,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Antonio J. Bermúdez 1150, Int. 8, Parque Industrial Juarez",JUAREZ,CHIHUAHUA,"lcalderon@borderstar.com.mx,nlujan@borderstar.com.mx y atorres@borderstar.com.mx",,CHIHUAHUA,
CARLS_JUV,Carl's Jr. Juventud,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Periférico de la Juventud 3301-L, Las Fuentes, 32516 Chihuahua, Chih",CHIHUAHUA,CHIHUAHUA,"juventud@borderstar.com.mx, nlujan@borderstar.com.mx, atorres@borderstar.com.mx",6142035102,CHIHUAHUA,
CARLS_JUV_ACEI,Carl's Jr. Juventud (Aceite),BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Periférico de la Juventud 3301-L, Las Fuentes, 32516 Chihuahua, Chih",CHIHUAHUA,CHIHUAHUA,"juventud@borderstar.com.mx, nlujan@borderstar.com.mx, atorres@borderstar.com.mx",6142035102,CHIHUAHUA,
CARLS_SANLOR_ACEI,Carl's Jr. San Lorenzo ,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,Av. Vicente Guerrero s/n Partido Senecu,JUAREZ,CHIHUAHUA,"sanlorenzo@borderstar.com.mx, nlujan@borderstar.com.mx y atorres@borderstar.com.mx",,CHIHUAHUA,
CARLS_TEC,Carl's Jr. Tecnológico,BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Tecnologico 5708, Parral, 31104 Chihuahua, Chih.",CHIHUAHUA,CHIHUAHUA,"tecnologico@borderstar.com.mx, nlujan@borderstar.com.mx, atorres@borderstar.com.mx",6142035102,CHIHUAHUA,
CARLS_TEC_ACEI,Carl's Jr. Tecnológico (Aceite),BORDER STAR DE MEXICO S. DE R.L. DE C.V.,"Av. Tecnologico 5708, Parral, 31104 Chihuahua, Chih.",CHIHUAHUA,CHIHUAHUA,"tecnologico@borderstar.com.mx, nlujan@borderstar.com.mx, atorres@borderstar.com.mx",6142035102,CHIHUAHUA,
CALIENTE,Casino Caliente,Espectaculos Latinoamericanos Deportivos SA de CV,"Periférico de la Juventud No. 5700-2, Desarrollo Comercial El Saucito, 31114",CHIHUAHUA,CHIHUAHUA,luis.moya@orenes.mx,6142020551,CHIHUAHUA,Luis Montoya
CALIENTE_ACEI,Casino Caliente (Aceite),Espectaculos Latinoamericanos Deportivos SA de CV,"Periférico de la Juventud No. 5700-2, Desarrollo Comercial El Saucito, 31114",CHIHUAHUA,CHIHUAHUA,luis.moya@orenes.mx,6142020551,CHIHUAHUA,Luis Montoya
CALIENTE_BASU,Casino Caliente (Basura),Espectaculos Latinoamericanos Deportivos SA de CV,"Periférico de la Juventud No. 5700-2, Desarrollo Comercial El Saucito, 31114",CHIHUAHUA,CHIHUAHUA,luis.moya@orenes.mx,6142020551,CHIHUAHUA,Luis Montoya
CROWN,Casino Crown DELUVNIC,DELUNVIC ADMINISTRACION S.de R.L.DE C.V.," Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,mtto.cuu@crowncasino.mx,,CHIHUAHUA,
CROWN_ACEITE,Casino Crown DELUVNIC (Aceite),DELUNVIC ADMINISTRACION S.de R.L.DE C.V.," Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,mtto.cuu@crowncasino.mx,,CHIHUAHUA,
Casino_Solaz,Casino Solaz,Delunvic administracion S.A. de C.V.,Periferico de la Juventud #3501 int. J03 Puerrta de Hierro,Chihuahua,Chihuahua,mtto.cuu@solazcasino.mx,6144302115,CHIHUAHUA,Rogelio Rodriguez Ruiz
CATALUÑA_,CATALUÑA,MANUEL ALEJANDRO MENDOZA ZUANY,AVE CANTERA 10101 COL.LA HACIENDITA CP 31216,CHIHUAHUA,CHIHUAHUA,FALIANZAVENTAS@HOTMAIL.COM,,CHIHUAHUA,
SC_6584,CD JUAREZ EJERCITO,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,,,CHIHUAHUA,
WM_2377,CD JUAREZ EJERCITO,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,,,CHIHUAHUA,
BA_2224,CD. JUAREZ JILOTEPEC,Nueva Walmart de Mexico S. de R.L. de C.V.,"Nextengo 78 Santa Cruz Acayucan, Azcapotzalco, C.P. 02770",JUAREZ,CHIHUAHUA,,,CHIHUAHUA,
WM_Sams_CUU,CEDIS SAMS CUU,Nueva Walmart de Mexico S. de R.L. de C.V.,Carretera ciudad Juarez Km 27.5 Ejido Sacramento,Chihuahua,Chihuahua,eric.chavez@walmart.com,6141802170,CHIHUAHUA,Eric Chavez
Walmart_CUU,CEDIS Walmart CUU,Nueva Walmart de Mexico S. de R.L. de C.V.,Carretera ciudad Juarez Km 27.5 Ejido Sacramento,Chihuahua,Chihuahua,eric.chavez@walmart.com,6141802170,CHIHUAHUA,Eric Chavez
CERVECERIA_LOCAL,Cerveceria Local,El Agua de Papa S.A. de C.V.,"Av. Diaz Ordaz, Av. Cuauhtemoc #101 C.P. 31020",Chihuahua,Chihuahua,carlosramirez190483@gmail.com,,CHIHUAHUA,Carlos Ramirez
KTS_ELECTRIC_POWER,CFE KTS Electric,KTS Electric Power Company SAPI de C.V,"Carr. 7.8 km del suroeste del km 196-724 S/N, Horcacitas, C.P. 31622",Chihuahua,Chihuahua,gcarmen.munoz@kstmx.com,,CHIHUAHUA,Junghwan Kim
CHIKEN_FARM,Chicken Farm,Comercializadora Grapal S. de R.L. de C.V.,"C. Catedral de mexico #3300, predio La Cantera, C.P. 31216",Chihuahua,Chihuahua,gerardo.iglesias.p@gmail.com,6141190957,CHIHUAHUA,Gerardo Iglesias
CHICKEN_READY_16SEPTIEMBRE,Chicken Ready 16 de Septiembre,Consorcio Gallo de Mexico S de R.L. de C.V.,"Av. 16 de septiembre # 5263, Plaza Telurio C.P. 32160",Juarez,Chihuahua,,656-684-0505 y 656-684-0506,JUAREZ,
CHICKEN_READY_LOPEZ_MATEOS,Chicken Ready Lopez Mateos,Consorcio Gallo de Mexico S. de R.L. de C.V.,"Av. López Mateos # 2050, Plaza El Paseo C.P. 32390",Juarez,Chihuahua,,656-634-0110 y 656-634-0111,JUAREZ,
CHICKEN_READY_VALLE_DEL_SOL,Chicken Ready Valle del Sol,Consorcio Gallo de Mexico S. de R.L. de C.V.,"Calle Valle del Sol # 1071, Ejido Salvarcar C.P. 32599",Juarez,Chihuahua,,656-397-4900 y 656-397-4901,JUAREZ,
CHILLIS_D1,Chillis Distrito 1,Las Nuevas Delicias Gastronomicas S de CV de RL,Via Trentino 5705 D1,Chihuahua,Chihuahua,D1chihuahua@chillis.com.mx,614-405-39-55,CHIHUAHUA,Ivan Payan
CHILLIS_PLAZA_DELSOL,Chillis Plaza del sol,Las Nuevas Delicias Gastronomicas S de CV de RL,Periferico de la Juventus no.3501 Fracc Puerta de Hierro,Chihuahua,Chihuahua,psolchihuahua@chillis.com,614-184-52-00,CHIHUAHUA,German Hernandez
CHILLIS_POLI,Chillis Politécnico,Las Nuevas Delicias Gastronomicas S. de C.V. de R.L.,Periferico de la Juventud #5301,Chihuahua,Chihuahua,chihuahua@chillis.com.mx,6144053955,CHIHUAHUA,Diego Blancarte
CHINA_CITY_COL,China City Colon,JINFEN ZHENG,"Av. Colón 505, Zona Centro, 31000",CHIHUAHUA,CHIHUAHUA,katychenchih@gmail.com,,CHIHUAHUA,Katy Chen
CHUCK_E_CHEESE,Chuck E. Cheese,Cecfranquicias S.A. de C.V.,"Av. Periferico de la Juventud #2200, Loc. Ex02, fracc.Haciendas del Valle C.P. 31238",Chihuahua,Chihuahua,chihuahua@cecmexico.com,6141155329,CHIHUAHUA,Hilari Rosales
CINEPO_FASHION_ACEI,Cinépolis Fashion Mall ,"Cinépolis de México, S.A. de C.V.","Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,c_fashion_mall@cinepolis.com,,CHIHUAHUA,
CINEPOLIS_NVA_ESPAÑA,Cinepolis Nueva España,Exhibidora Mexicana Cinepolis S.A. de C.V.,"Vialidad CH-P y Nueva España 1 #2302 int. cine, Col. Marmol 1",Chihuahua,Chihuahua,mc_pnva_espana@cinepolis.com,6144967834,CHIHUAHUA,Lizbeth Chanez
CINEPOLIS_SENDERO,Cinepolis Plaza Sendero,Exhibidora Mexicana Cinepolis S.A. de C.V.,"Complejo industrial Chihuahua, Plaza Sendero C.P. 31136",Chihuahua,Chihuahua,jabil@cinepolis.com,6141812590,CHIHUAHUA,Jazael Martinez
CINEPOLIS_VALLARTA,Cinepolis Vallarta,Exhibirora Mexicana Cinepolis S.A. de C.V.,Av. Zaragoza #1114 Norte 1 C.P. 31160,Chihuahua,Chihuahua,c_chihuahua@cinepolis.com,614,CHIHUAHUA,Cesar Mascorro
CITY_SALADS_MISIONES,City Salads Misiones,Grupo Riku Restauranteros S.A. de C.V.,"C. Teofilo Borunda #8671 int 72, Col. Partido Iglesias",Juarez,Chihuahua,adm-citysalads@gmail.com,,JUAREZ,Javier Hernandez
CLINICA_PANAMERICANA,Clinica Panamericana,Clinica Panamericana de Chihuahua S.A. de C.V.,"Antonio de Montes #6906, Col. Panamericana",Chihuahua,Chihuahua,estructurahosp@clinicapanamericana.com.mx,6141640481,CHIHUAHUA,Mario Colmenero
COBRE_29_RAMON,Cobre 29 Ramon Rayon,Hot Shot Brands S de R.L. de C.V.,"Calle Ramón Rayon #450-2, Col. Horizontes del Sur, 32575",Juarez,Chihuahua,yeisussud@hotmail.com,656 605 3625,JUAREZ,
COCA,Coca - Cola,Bebidas Mundiales S.A. de C.V.,Ave. Cristobal Colon # 18701 Las Carolinas,CHIHUAHUA,CHIHUAHUA,alfredo.palma@arcacontal.com,,CHIHUAHUA,
COISA,COISA,CONSULTORES INDUSTRIALES S.A DE C.V,"Lucio Blanco No. 435, Col. San Juan Tlihuaca. CP 02400",CIUDAD DE MÉXICO D.F.,DELEGACION AZCAPOTZALCO ,,,CHIHUAHUA,
CAMILA,Come Camila,COME CAMILA D1 SA DE CV,"Av. Via Trentino No. 5704, Distrito 1, 31114",CHIHUAHUA,CHIHUAHUA,compras@comecamila.com; administracion@comecamila.com,,CHIHUAHUA,
CAMILA_ACEI,Come Camila (Aceite),COME CAMILA D1 SA DE CV,"Av. Via Trentino No. 5704, Distrito 1, 31114",CHIHUAHUA,CHIHUAHUA,compras@comecamila.com; administracion@comecamila.com,,CHIHUAHUA,
CONDUCTORES_TEC_DE_JUAREZ,Conductores Tecnologicos de Juarez,"Conductores Tecnologicos de Juarez S.A. de C.V.  C.P. 32679, Planta Camargo",C. Ben Perez #9 Parque Industrial El Soldado,Camargo,Chihuahua,,,CHIHUAHUA,Valentin Leos
CONQUISTADOR_HOTELERO,Conquistador Hotelero,Conquistador Hotelero S.A. de C.V.,"Av. Ejército Nacional # 8805, Partido Iglesias, C.P. 32528",Juarez,Chihuahua,elisaconquistador@hotmail.com,656 541 0630,JUAREZ,
COSTCO,Costco,Costco de Mexico S.A de C.V.," Periférico de la Juventud # 7513, Misiones I Etapa, C.P. 31115",CHIHUAHUA,CHIHUAHUA,jmartinezag@costco.com.mx,,CHIHUAHUA,
COSTILLA_MOR_ACEI,Costilla Morena,Grupo Costola S.A. de C.V.,"Ave. Tomas Valles Vivar 6910, int. 21, Col. Cima de la Cantera, Plaza Pedregales, C.P. 31226",CHIHUAHUA,CHIHUAHUA,grupocostola@gmail.com,,CHIHUAHUA,
CRYOINFRA,Cryoinfra,CRYOINFRA DEL NORTE S.A de C.V.,"Eje Viel Juan Gabriel 4450, Paseo del Vergel. C.P.32658",Juárez,Chihuahua,,,JUAREZ,Alberto Miguel Sánchez Núñez
VINTICH_JUV,Dark Vintich JUVENTUD,Oscar Alejandro Talamas Beltran,"Plaza Cumbres, Perif. de la Juventud s/n, Cumbres",CHIHUAHUA,CHIHUAHUA,oscar.talamas@darkvintich.com,,CHIHUAHUA,
VINTICH_JUV_ACEI,Dark Vintich JUVENTUD (Aceite),Oscar Alejandro Talamas Beltran,"Plaza Cumbres, Perif. de la Juventud s/n, Cumbres",CHIHUAHUA,CHIHUAHUA,oscar.talamas@darkvintich.com,,CHIHUAHUA,
DENNYS_COL_ACEI,Dennys Colón ,"PROMOTORA DE RESTAURANTES DEL NORTE, S.A. DE C.V.","Avenida Cristobal Colón 11390, Cmplejo Industrial Chihuahua, 31109 ",CHIHUAHUA,CHIHUAHUA,vaguirre@dennys.com.mx,,CHIHUAHUA,Cesar Armendariz
DENNYS_SF,Dennys San Felipe,"PROMOTORA DE RESTAURANTES DEL NORTE, S.A. DE C.V.","Av Antonio de Montes 4301, San Felipe I Etapa, 31203",CHIHUAHUA,CHIHUAHUA,lornelas@dennys.com.mx,614413 1719,CHIHUAHUA,Lirio Ornelas
DENNYS_SF_ACEI,Dennys San Felipe (Aceite),"PROMOTORA DE RESTAURANTES DEL NORTE, S.A. DE C.V.","Av Antonio de Montes 4301, San Felipe I Etapa, 31203",CHIHUAHUA,CHIHUAHUA,lornelas@dennys.com.mx,614413 1719,CHIHUAHUA,
TOTA_FMALL,Doña Tota Fashion Mall,Cadena de Comida Mexicana SAPI de CV,"Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
DOÑA_TOTA_FM,Doña Tota Fuentes Mares,Cadena de Comida Mexicana SAPI de CV,"Centro comercial Sori, Perif. de la Juventud 5909-Int. 8, La Cantera I Etapa, 31216 Chihuahua, Chih.",Chihuahua,Chihuahua,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
DOÑA_TOTA_HOMERO,Doña Tota Homero,Cadena de Comida Mexicana SAPI de CV,Plaza de Juventus 18-19 Paseos de Chihuahua 31125,Chihuahua,Chihuahua,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
TOTA_3VIAS,Doña Tota Plaza 3 Vias,Cadena de Comida Mexicana SAPI de CV,"Av. Mirador 6305B, Campestre-Lomas, 31213",CHIHUAHUA,CHIHUAHUA,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
TOTA_SENDE,Doña Tota Plaza Sendero,Cadena de Comida Mexicana SAPI de CV,Av. de las Industrias 11377 Complejo Industrial Chihuahua 31136,CHIHUAHUA,CHIHUAHUA,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
TOTA_VALL,Doña Tota Plaza Vallarta,Cadena de Comida Mexicana SAPI de CV,"Av. Ignacio Vallarta 5902, Loc. B1, Granjas, 31100",CHIHUAHUA,CHIHUAHUA,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
DOÑA_TOTA_SACRAMENTO,Doña Tota Sacramento,Cadena de Comida Mexicana SAPI de CV,"México 45, Sacramento, 31628 Alamillo, Chih.",Chihuahua,Chihuahua,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
DOÑA_TOTA_VALLES_VIVAR,Doña Tota Valles Vivar,Cadena de Comida Mexicana SAPI de CV,,Chihuahua,Chihuahua,mcisneros@donatota.com,8116871765,CHIHUAHUA,Miguel Cisneros
DOS_AGUAS_ACEI,Dos Aguas (Aceite),,"Vía Lombardia 5700-8, El, Saucito, 31110",CHIHUAHUA,CHIHUAHUA,rodolfoguerrerordz1@gmail.com,,CHIHUAHUA,
DTR,DTR,"Grupo American Industries, S.A. de C.V.",AV.WASHINGTON 3701 EDIF 18 PANAMERICANA C.P. 31200,CHIHUAHUA,CHIHUAHUA,moseguera@dtrmx.com,,CHIHUAHUA,
ECORES,Ecoresiduos,"Ecoresiduos, Desechos y Reciclados S.A de C.V.","Calle Bavicora S/N esquina con calle #147, Col. Valle de Chihuahua",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
GALLITO_MAÑANERO_CANTERA,El Gallito Mañanero Cantera,Jose de Jesus Fajardo Sandoval,Av. La Cantera #8700 Col. Las Misiones,Chihuahua,Chihuahua,facturaciongallitocantera@gmail.com,6143892690,CHIHUAHUA,
GALLITO_MAÑANERO_CIRCUITO,El Gallito Mañanero Circuito Univ,Jose de Jesus Fajardo Sandoval,Los Nogales #2002 Paseos de la universidad Frac. Cafetales,Chihuahua,Chihuahua,facturaciongallitocantera@gmail.com,6146321753,CHIHUAHUA,
GALLITO_MAÑANERO_CUAUHTEMOC,El Gallito Mañanero Cuauhtemoc,Sara Eliza,Av. Cuauhtemoc #3009  Col. 16 de Septiembre,Chihuahua,Chihuahua,facturaciongallitomananero@gmail.com,6144110613,CHIHUAHUA,
MESON_CAT,El Meson de Catedral, Grupo de Enlace Empresarial Apeiron S.A de C.V.,Victoria No. 200 Centro Historico,CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
EL_MUCHACHO_ALEGRE,El Muchacho Alegre,Operadora Muchacho Alegre S.A. de C.V.,Periferico de la Juventud #6112,Chihuahua,Chihuahua,tesoreria.muchalegre@gmail.com,6141886051,CHIHUAHUA,David Correa
THAI,El Thai ,THAI COCINA ORIENTAL S DE RL DE CV,"Plaza Citadela, Periférico de la Juventud 5705, Saucito, 31110",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
el_triunfo_,EL TRIUNFO ,EL TRIUNFO LINAJE SELECTO SA DE CV  ,Calle Tercera nO. 6501 Colonia Aeropuerto ,CHIHUAHUA,CHIHUAHUA,calidad@trunfo.mx ,,CHIHUAHUA,
VIEJO_REF_ACEI,El Viejo Refugio ,María Eugenia de la Cruz Chávez,"Plaza Comercial La Isla, Paseo Vistas del Sol 6601, Int. 14, Vista del Sol, 31217",CHIHUAHUA,CHIHUAHUA,,,CHIHUAHUA,
ELOTELANDIA_,Elotelandia,Jorge Emilio Licon Moriel,Rincón de Valencia # 2047,Juarez,Chihuahua,elotelandia@outlook.com,656 364 3504,JUAREZ,
ESEENI_BASU,ESEENI (Basura),SUMINISTROS ESEENI S.A. DE C.V.,"Pino 1203, Col. San Pablo C.P. 31107",CHIHUAHUA,CHIHUAHUA,ldelarosa@esseni.com,,CHIHUAHUA,
ESTACIONAMIENTO_D1,Estacionamiento D1,Asociacion de Condominios del Corporativo Distrito 1 A.C.,C. Via Lombardia #5705,Chihuahua,Chihuahua,gabriela.reza@arasbgroup.com,6141819734,CHIHUAHUA,Karina Lugo
FABRICA_DE_ETIQUETAS,Fabrica de Etiquetas Macias,Fabrica de Etiquetas Macias S. de R.L. de C.V.,"Chihuahua 3000, Ex Hipódromo, C.P. 32330",Juarez,Chihuahua,borimet.cxp@gmail.com,656 613 4447,JUAREZ,
FELDER_FOODS,Felder Foods,Felder Foods S.A. de C.V.,"C. 3 #7301-3, Col. Vicente Guerrero C.P. 31105",Chihuahua,Chihuahua,mbermudez@felderfoods.com,6141848495,CHIHUAHUA,Marisa Bermudez
FIRST_DOSTO_BASU,First Cash Dostoyevsky (Basura),First Cash S.A. De C.V.,"Fedor Dostoyevsky 310 Local 17, Plaza San Ignacio",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_EQUUS_BASU,First Cash Equus (Basura),First Cash S.A. De C.V.,"Ave. Camino Real 8807, Local 602, Col. Camino Real",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_GPRIETO_BASU,First Cash Guillermo Prieto (Basura),First Cash S.A. De C.V.,"Av. Prieto Lujan S/N   casi esquina con C. Hidroeléctrica Chicoasen, Col. Los Olivos",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_JESCUTIA_BASU,First Cash Juan Escutia (Basura),First Cash S.A. De C.V.,"Ave. Juan Escutia 2910-E, Col. Jardines del Norte",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_NOGA_IND_BASU,First Cash Nogales Industrias (Basura),First Cash S.A. De C.V.,"Vialidad Los Nogales No.3107, Fracc. Los Nogales",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_NOGA_TEC_BASU,First Cash Nogales y Tecnológico (Basura),First Cash S.A. De C.V.,"Av. Tecnológico No. 15529, Col. Paseos de Chihuahua",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_NVA_ESPA_BASU,First Cash Nueva España (Basura),First Cash S.A. De C.V.,"Ave. Nueva España esquina Fuentes Mares, Col. Marmol I",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_OCAMPO_BASU,First Cash Ocampo (Basura),First Cash S.A. De C.V.,"Ave. Ocampo 5004-A, Col. Bellavista",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_PACHECO_BASU,First Cash Pacheco (Basura),First Cash S.A. De C.V.,"Ave. Carlos Pacheco 802-A, Col. Obrera",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_PACH_DEFPOPU_BASU,First Cash Pacheco y Defensa Popular (Basura),First Cash S.A. De C.V.,"Ave. Defensa Popular y Ave. Pacheco No. 1, Col. 2 de Octubre",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_PERI_JUV_BASU,First Cash Periferico de la Juventud (Basura),First Cash S.A. De C.V.,"Ave. Periferico de la Juventud y Calle Abolición de la Esclavitud, Local Sublanca, Col. Loma Dorada",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_PINABETE_BASU,First Cash Pinabete (Basura),First Cash S.A. De C.V.,"Av. Tecnológico y Calle Privada de Pinabete No. 6700, Fraccto. El Lago",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_RALMADA_BASU,First Cash R. Almada (Basura),First Cash S.A. De C.V.,"Nueva España 3400 Esquina con R. Almada, Plaza Comercial Cerro Grande",CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
FIRST_SILV_TERR_BASU,First Cash Silvestre Terrazas (Basura),First Cash S.A. De C.V.,Av. Silvestre Terrazas y C. Cuarta y Media No. 1301-A,CHIHUAHUA,CHIHUAHUA,oficios@firstcash.com karina.mendoza@firstcash.com,,CHIHUAHUA,
Foxcon_FIH,FOXCON FIH,FIH Mexico Industry S.A. de C.V.,Av. Cristobal Colon #20301 Col. Las Aldabas C.P. 31170,Chihuahua,Chihuahua,Vanely.Cruz@foxconn.com; Vielka.Torres@foxconn.com,6144393315,CHIHUAHUA,Vielka Alejandra Torres Martinez
FUNTASTIK,Funtastik,DIVERSIONES FUNTASTIC S DE RL DE CV,"Calle Indiana 3300, Virreyes, Campestre-Lomas, 31205",CHIHUAHUA,CHIHUAHUA,administracion@funtastic.com.mx,6144232301,CHIHUAHUA,Kenny Martinez
FUNTASTIK_ACEI,Funtastik (Aceite),DIVERSIONES FUNTASTIC S DE RL DE CV,"Calle Indiana 3300, Virreyes, Campestre-Lomas, 31205",CHIHUAHUA,CHIHUAHUA,administracion@funtastic.com.mx,6144232301,CHIHUAHUA,
GALLITO_MAÑANERO_CANTERA,Gallito Mañanero Cantera,Jose de Jesus Fajardo Sandoval,Av. la cantera 8700 Col las misiones ,Chihuahua,Chihuahua,facturaciongallitocantera@gmail.com,6143892690,CHIHUAHUA,Jose de Jesus Fajardo
GALLITO_MAÑANERO_CUAUHTEMOC,Gallito Mañanero Cuauhtemoc,Sara eliza,Av. Cuauhtemoc 3009 Col. 16 de septiembre,Chihuahua,Chihuahua,facturaciongallitocantera@gmail.com,6144110613,CHIHUAHUA,Sara Elisa
GALLITO_MAÑANERO_NORTE,Gallito Mañanero Norte,Jose de Jesus Fajardo Sandoval,Los nogales 2002 paseo de la universidad Fracc. cafetales,Chihuahua,Chihuahua,facturaciongallitocantera@gmail.com,6146321753,CHIHUAHUA,Jose de Jesus Fajardo
GARUFA,Garufa,VIMALEXA DE CHIHUAHUA S DE RL DE CV,"Perif. de la Juventud 3108, Haciendas I, 31215",CHIHUAHUA,CHIHUAHUA,garufa.chih@gmail.com,6144300417,CHIHUAHUA,Roberto Carrera
GASOLINERA_PINOSALTOS,Gasolinera Pinos Altos,Combustibles Pinos Altos SA de CV,km 14/2 carretera chihuahua-cuauhtemoc,Chihuahua,Chihuahua,robert_siga@hotmail.com,6142547964,CHIHUAHUA,Roberto Carrera
